motif,tier,first,last,rows
american,micro,20231007000000,20231007234500,9747
american,macro,20221007,20231007,1606
runner,micro,20231007000000,20231007234500,282
runner,macro,20221007,20231007,67
russian,micro,20231007000000,20231007234500,9529
russian,macro,20221007,20231007,1864
investor,micro,20231007000000,20231007234500,1457
investor,macro,20221007,20231007,355
jain,micro,20231007001500,20231007231500,116
jain,macro,20231007,20231007,29
jewish,micro,20231007000000,20231007234500,5813
jewish,macro,20221007,20231007,1240
ambassador,micro,20231007000000,20231007234500,4049
ambassador,macro,20230907,20231007,350
iranian,micro,20231007000000,20231007234500,1623
iranian,macro,20221007,20231007,790
irish,micro,20231007000000,20231007234500,1179
irish,macro,20221007,20231007,647
russia,micro,20231007000000,20231007234500,15635
russia,macro,20131009,20231007,5628
rustler,micro,20231007021500,20231007074500,2
rustler,macro,20231007,20231007,17
japanese,micro,20231007000000,20231007234500,1711
japanese,macro,20221007,20231007,314
scholar,micro,20231007000000,20231007234500,2558
scholar,macro,20231007,20231007,132
